x;y;layer1;layer2;voltage1;voltage2;current
3235.31;1134.77;TOP_LAYER;MID_LAYER_1;0.000256239;0.000256222;0.000215711
3235.31;1134.77;MID_LAYER_1;MID_LAYER_2;0.000256222;0.000255989;0.000491849
3235.31;1134.77;MID_LAYER_2;MID_LAYER_3;0.000255989;0.000255941;0.000474235
3235.31;1134.77;MID_LAYER_3;MID_LAYER_4;0.000255941;0.000255725;0.000454701
3235.31;1134.77;MID_LAYER_4;BOTTOM_LAYER;0.000255725;0.000255693;0.000415082
3235.31;1174.14;TOP_LAYER;MID_LAYER_1;0.000256088;0.000256074;0.000177949
3235.31;1174.14;MID_LAYER_1;MID_LAYER_2;0.000256074;0.000255856;0.000458625
3235.31;1174.14;MID_LAYER_2;MID_LAYER_3;0.000255856;0.000255812;0.000436622
3235.31;1174.14;MID_LAYER_3;MID_LAYER_4;0.000255812;0.000255602;0.000442722
3235.31;1174.14;MID_LAYER_4;BOTTOM_LAYER;0.000255602;0.000255571;0.000399378
3235.31;1213.51;TOP_LAYER;MID_LAYER_1;0.000255919;0.000255907;0.000143907
3235.31;1213.51;MID_LAYER_1;MID_LAYER_2;0.000255907;0.000255701;0.00043351
3235.31;1213.51;MID_LAYER_2;MID_LAYER_3;0.000255701;0.00025566;0.000409176
3235.31;1213.51;MID_LAYER_3;MID_LAYER_4;0.00025566;0.000255458;0.000426981
3235.31;1213.51;MID_LAYER_4;BOTTOM_LAYER;0.000255458;0.000255427;0.000383385
3235.31;1252.88;TOP_LAYER;MID_LAYER_1;0.000255726;0.000255716;0.000122812
3235.31;1252.88;MID_LAYER_1;MID_LAYER_2;0.000255716;0.000255523;0.00040735
3235.31;1252.88;MID_LAYER_2;MID_LAYER_3;0.000255523;0.000255484;0.000381677
3235.31;1252.88;MID_LAYER_3;MID_LAYER_4;0.000255484;0.000255292;0.000405145
3235.31;1252.88;MID_LAYER_4;BOTTOM_LAYER;0.000255292;0.000255263;0.000363574
3235.31;1292.25;TOP_LAYER;MID_LAYER_1;0.00025551;0.000255504;8.11008e-05
3235.31;1292.25;MID_LAYER_1;MID_LAYER_2;0.000255504;0.000255321;0.000385596
3235.31;1292.25;MID_LAYER_2;MID_LAYER_3;0.000255321;0.000255286;0.0003459
3235.31;1292.25;MID_LAYER_3;MID_LAYER_4;0.000255286;0.000255108;0.00037571
3235.31;1292.25;MID_LAYER_4;BOTTOM_LAYER;0.000255108;0.000255081;0.000340698
3235.31;1331.62;TOP_LAYER;MID_LAYER_1;0.000255284;0.000255283;2.48078e-05
3235.31;1331.62;MID_LAYER_1;MID_LAYER_2;0.000255283;0.000255129;0.000323437
3235.31;1331.62;MID_LAYER_2;MID_LAYER_3;0.000255129;0.00025509;0.000393368
3235.31;1331.62;MID_LAYER_3;MID_LAYER_4;0.00025509;0.000254916;0.000365941
3235.31;1331.62;MID_LAYER_4;BOTTOM_LAYER;0.000254916;0.00025489;0.000321678
3235.31;1370.99;TOP_LAYER;MID_LAYER_1;0.000255058;0.000255053;5.30002e-05
3235.31;1370.99;MID_LAYER_1;MID_LAYER_2;0.000255053;0.000254883;0.000358298
3235.31;1370.99;MID_LAYER_2;MID_LAYER_3;0.000254883;0.00025486;0.000231918
3235.31;1370.99;MID_LAYER_3;MID_LAYER_4;0.00025486;0.000254714;0.000308298
3235.31;1370.99;MID_LAYER_4;BOTTOM_LAYER;0.000254714;0.000254696;0.000224019
3235.31;1410.36;TOP_LAYER;MID_LAYER_1;0.000254857;0.000254853;5.24714e-05
3235.31;1410.36;MID_LAYER_1;MID_LAYER_2;0.000254853;0.000254724;0.000272055
3235.31;1410.36;MID_LAYER_2;MID_LAYER_3;0.000254724;0.000254694;0.000298751
3235.31;1410.36;MID_LAYER_3;MID_LAYER_4;0.000254694;0.000254549;0.000304841
3235.31;1410.36;MID_LAYER_4;BOTTOM_LAYER;0.000254549;0.000254532;0.000216856
3235.31;1449.73;TOP_LAYER;MID_LAYER_1;0.000254689;0.000254686;3.32544e-05
3235.31;1449.73;MID_LAYER_1;MID_LAYER_2;0.000254686;0.000254567;0.000252048
3235.31;1449.73;MID_LAYER_2;MID_LAYER_3;0.000254567;0.000254539;0.000271071
3235.31;1449.73;MID_LAYER_3;MID_LAYER_4;0.000254539;0.000254407;0.000279632
3235.31;1449.73;MID_LAYER_4;BOTTOM_LAYER;0.000254407;0.000254391;0.000198998
3235.31;1489.1;TOP_LAYER;MID_LAYER_1;0.000254551;0.00025455;1.21678e-05
3235.31;1489.1;MID_LAYER_1;MID_LAYER_2;0.00025455;0.000254436;0.000239677
3235.31;1489.1;MID_LAYER_2;MID_LAYER_3;0.000254436;0.00025441;0.000258968
3235.31;1489.1;MID_LAYER_3;MID_LAYER_4;0.00025441;0.000254285;0.000264002
3235.31;1489.1;MID_LAYER_4;BOTTOM_LAYER;0.000254285;0.00025427;0.000189237
