Description,Designator,Quantity,Case,Mouser_Part_Number,Tolerance,Value,Manufacturer Part Number,Manufacturer_Part_Number
"Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R23","1","0402","71-CRCW0402-330-E3","%1","330R","","CRCW0402330RFKED"
"Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R22","1","0402","71-CRCW0402-330-E3","%1","330R","","CRCW0402330RFKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R21","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R20","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R19","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R18","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R17","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R16","1","0402","71-CRCW0402-10K-E3","%1","10K","","CRCW040210K0FKED"
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R15","1","0402","71-CRCW0402-10K-E3","%1","10K","","CRCW040210K0FKED"
"Thick Film Resistors - SMD 1/16 W 0 Ohms","R14","1","0402","71-CRCW0402-0-E3","","0R","","CRCW04020000Z0ED"
"Thick Film Resistors - SMD 1/16 W 0 Ohms","R13","1","0402","71-CRCW0402-0-E3","","0R","","CRCW04020000Z0ED"
"Thick Film Resistors - SMD 1/16 W 0 Ohms","R12","1","0402","71-CRCW0402-0-E3","","0R","","CRCW04020000Z0ED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R11","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R10","1","0402","71-CRCW0402-330-E3","%1","330R","","CRCW0402330RFKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R9","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R8","1","0402","71-CRCW0402-330-E3","%1","330R","","CRCW0402330RFKED"
"Thick Film Resistors - SMD 1/16 W 91 Kohms 1%","R7","1","0402","71-CRCW040291K0FKED","%1","91K","","CRCW040291K0FKED"
"Thick Film Resistors - SMD 1/16 W 604 Kohms 1%","R6","1","0402","71-CRCW0402-604K-E3","%1","604K","","CRCW0402604KFKED"
"Thick Film Resistors - SMD 1/16 W 100 Kohms 1%","R5","1","0402","71-CRCW0402-100K-E3","%1","100K","","CRCW0402100KFKED"
"Thick Film Resistors - SMD 1/16 W 91 Kohms 1%","R4","1","0402","71-CRCW040291K0FKED","%1","91K","","CRCW040291K0FKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R3","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 806 Kohms 1%","R2","1","0402","","%1","806K","CRCW0402806KFKED",""
"Thick Film Resistors - SMD 1/16 W 100 Kohms 1%","R1","1","0402","71-CRCW0402-100K-E3","%1","100K","","CRCW0402100KFKED"
"Bipolar Transistors - BJT BC847AQA/DFN1010D-3/REEL 7"" Q2","Q13","1","DFN-1010D-3","771-BC847AQAZ","","","","BC847AQAZ"
"Bipolar Transistors - BJT BC847AQA/DFN1010D-3/REEL 7"" Q2","Q12","1","DFN-1010D-3","771-BC847AQAZ","","","","BC847AQAZ"
